hour_of_day,trip_count,avg_fare,avg_distance,avg_duration
0,79394,19.78,4.03,13.45
1,55424,17.81,3.49,12.47
2,38617,16.69,3.21,11.86
3,24970,17.69,3.5,11.92
4,15770,22.18,4.67,13.26
5,16105,26.38,5.97,14.59
6,39891,22.1,4.77,14.43
7,79456,18.89,3.67,14.33
8,107740,17.41,3.07,14.19
9,122480,17.59,3.09,14.16
10,135095,17.69,3.13,14.22
11,145107,17.39,2.99,14.24
12,160033,17.73,3.1,14.36
13,168525,18.44,3.28,15.02
14,180732,19.74,3.58,16.37
15,185183,19.27,3.41,16.36
16,184379,19.51,3.51,16.46
17,196935,18.6,3.3,15.92
18,203349,16.97,2.94,14.17
19,182454,17.63,3.25,13.6
20,157157,18.01,3.45,13.21
21,153198,18.49,3.61,13.25
22,139764,19.39,3.85,13.69
23,108170,20.58,4.23,13.9
